,Dimensionality,Layer,Subject
0,0.7507184736835143,1,02
1,0.7295119137522635,2,02
2,0.7822076413731213,3,02
3,0.7759441221567981,4,02
4,0.8063979150604359,5,02
5,0.7788048694331857,6,02
6,0.7513543451353837,7,02
7,0.7193314988098239,8,02
8,0.7925283819086274,9,02
9,0.7331856844179361,10,02
10,0.6986063859397931,11,02
11,0.6514510959657999,12,02
12,1.148538837283353,1,03
13,1.18075847388837,2,03
14,1.2179235156855528,3,03
15,1.2054397914816946,4,03
16,1.1399120855384153,5,03
17,1.1045159181160253,6,03
18,1.0460387688506083,7,03
19,1.0080260892687312,8,03
20,1.0205146722673388,9,03
21,0.9927926616801381,10,03
22,1.0099174109586615,11,03
23,0.7294846031573975,12,03
24,0.24600047125471383,1,04
25,0.26747265234061857,2,04
26,0.268332611036878,3,04
27,0.23783770604176666,4,04
28,0.24175886982422287,5,04
29,0.19980406647515325,6,04
30,0.21460380760469905,7,04
31,0.22281591475681362,8,04
32,0.2139242738290774,9,04
33,0.2348492725813967,10,04
34,0.23179486220557166,11,04
35,0.15806217591712907,12,04
36,0.391032753490771,1,06
37,0.3313759822981668,2,06
38,0.3730980344931159,3,06
39,0.3180263997578247,4,06
40,0.3466835395506618,5,06
41,0.3180650358309175,6,06
42,0.28945898958217714,7,06
43,0.3635012386349794,8,06
44,0.3598535200991461,9,06
45,0.3124983502781689,10,06
46,0.27724669055869405,11,06
47,0.5602986691078179,12,06
48,0.47945778485512036,1,08
49,0.44566295939204786,2,08
50,0.3769329911324362,3,08
51,0.354191811872345,4,08
52,0.3945352031277109,5,08
53,0.36850537549300644,6,08
54,0.3687651017436593,7,08
55,0.3619173469224231,8,08
56,0.35610007222923973,9,08
57,0.27355059370913987,10,08
58,0.27055132037334934,11,08
59,0.45342187325508904,12,08
60,0.5030915959228064,1,09
61,0.5150189136611325,2,09
62,0.5102801636628603,3,09
63,0.4923308814043246,4,09
64,0.4753653988365703,5,09
65,0.5289409768942425,6,09
66,0.4528631807772303,7,09
67,0.4084450615241405,8,09
68,0.3664291727941577,9,09
69,0.3674253810522656,10,09
70,0.36666711654321077,11,09
71,0.3914419312456904,12,09
72,0.7210418793199637,1,10
73,0.7143122909044798,2,10
74,0.7156956598001548,3,10
75,0.6820626820843986,4,10
76,0.6554999708827416,5,10
77,0.6882318384078462,6,10
78,0.6864435477149049,7,10
79,0.6316103538907549,8,10
80,0.693723095574568,9,10
81,0.6840255479522348,10,10
82,0.6212092181450367,11,10
83,0.9085770895183944,12,10
84,0.21260466052272367,1,12
85,0.21076720944993507,2,12
86,0.21814279273613937,3,12
87,0.18356877001107905,4,12
88,0.16396738528582558,5,12
89,0.1550751471831817,6,12
90,0.15283580041671638,7,12
91,0.13926055194028406,8,12
92,0.15349743657019477,9,12
93,0.15243352598550486,10,12
94,0.1952478238232319,11,12
95,0.6554881465559412,12,12
96,0.27206187880774424,1,14
97,0.260284274343425,2,14
98,0.30610439598902983,3,14
99,0.2696973714772454,4,14
100,0.2632370471128425,5,14
101,0.2617167714719979,6,14
102,0.2763107628344696,7,14
103,0.2771344158029144,8,14
104,0.3056908654745841,9,14
105,0.32774134541764743,10,14
106,0.36937063014897664,11,14
107,0.5425948184205722,12,14
108,0.3975441340542015,1,15
109,0.4016848201398486,2,15
110,0.42166916130830656,3,15
111,0.3639438786925944,4,15
112,0.3843376828549968,5,15
113,0.35597961904976744,6,15
114,0.34509892035357886,7,15
115,0.3383314577115189,8,15
116,0.3612972951768477,9,15
117,0.4108961519472125,10,15
118,0.4161977104608152,11,15
119,0.4714163766678346,12,15
120,0.2763032100491094,1,18
121,0.24229392022376212,2,18
122,0.20348936104697737,3,18
123,0.22066898754887407,4,18
124,0.21792948615287921,5,18
125,0.21644510352738247,6,18
126,0.18781078538603674,7,18
127,0.1891254699718939,8,18
128,0.1599957108432254,9,18
129,0.14813645888701904,10,18
130,0.14785935644194984,11,18
131,0.1110673938318249,12,18
132,0.06630429830584532,1,20
133,0.0719131089826111,2,20
134,0.07340342988898385,3,20
135,0.06142248729867875,4,20
136,0.05642114802386723,5,20
137,0.04307595146598251,6,20
138,0.025798179121658087,7,20
139,0.020988373409834338,8,20
140,0.021926950310176344,9,20
141,0.01330086779448815,10,20
142,0.0052415015240837165,11,20
143,0.832959453458938,12,20
144,0.6678871480310565,1,22
145,0.6811387977775827,2,22
146,0.6559815760111539,3,22
147,0.6030971179766665,4,22
148,0.6022408696867417,5,22
149,0.5665380503271857,6,22
150,0.6239350494082169,7,22
151,0.5589057380706194,8,22
152,0.5428987471250323,9,22
153,0.5649152767811787,10,22
154,0.5421087930962146,11,22
155,0.5713980589600258,12,22
156,0.39244633522010486,1,25
157,0.3974005144675261,2,25
158,0.3907801651525927,3,25
159,0.4008069360662906,4,25
160,0.38501917149926534,5,25
161,0.4232879493236617,6,25
162,0.4619673882905087,7,25
163,0.527781933978424,8,25
164,0.5036954424426138,9,25
165,0.5445065263045292,10,25
166,0.519395043935052,11,25
167,0.40759718933608446,12,25
168,1.1537283483895684,1,27
169,1.1509109519198517,2,27
170,1.1293420159119063,3,27
171,1.0565726145629297,4,27
172,1.0524797553736054,5,27
173,0.9574245312505615,6,27
174,0.9417709727065057,7,27
175,0.8731795558766443,8,27
176,0.799963290508402,9,27
177,0.7119432999863397,10,27
178,0.6818112955588266,11,27
179,1.048833650978793,12,27
180,0.5890261817529386,1,29
181,0.5538209916045067,2,29
182,0.6120692827050171,3,29
183,0.5970255320548501,4,29
184,0.527504591657401,5,29
185,0.5292760038809551,6,29
186,0.5733165086361741,7,29
187,0.6345450365260094,8,29
188,0.6189703691929356,9,29
189,0.6074485216463568,10,29
190,0.642525136351432,11,29
191,0.8489678398014094,12,29
192,0.1450645537717797,1,31
193,0.15201681245520857,2,31
194,0.12939037782442936,3,31
195,0.16293328240637425,4,31
196,0.13828238132707635,5,31
197,0.13179498089025943,6,31
198,0.1376155370183784,7,31
199,0.13230027903554653,8,31
200,0.14201809938089996,9,31
201,0.15016655704603996,10,31
202,0.23292054119267933,11,31
203,0.5015130382408572,12,31
204,0.4352343178386893,1,17
205,0.45230312785804244,2,17
206,0.46777854177278916,3,17
207,0.5053769700767158,4,17
208,0.5300940096233039,5,17
209,0.6157423309588652,6,17
210,0.6384839752750355,7,17
211,0.6112338114248583,8,17
212,0.6164167556504179,9,17
213,0.5126645664261628,10,17
214,0.5528692929391963,11,17
215,0.8890131743300539,12,17
216,0.32593965930105623,1,19
217,0.3056125903479262,2,19
218,0.29709284764074745,3,19
219,0.2899526045243496,4,19
220,0.302331285076656,5,19
221,0.30389302695139353,6,19
222,0.3385072417208537,7,19
223,0.3890102365661864,8,19
224,0.3924194890843046,9,19
225,0.3778018920934441,10,19
226,0.36686276897514475,11,19
227,0.4742168190264039,12,19
228,0.10515111924474453,1,21
229,0.10253669903919166,2,21
230,0.09237677824900992,3,21
231,0.08327235372928704,4,21
232,0.09875491193324719,5,21
233,0.11469351586288627,6,21
234,0.08171776633581691,7,21
235,0.03889479700416373,8,21
236,0.03881538378534259,9,21
237,0.0411366001358252,10,21
238,0.03296334921439772,11,21
239,0.07684764425423092,12,21
240,0.5686411593773493,1,24
241,0.5541219092869614,2,24
242,0.5302683017509808,3,24
243,0.5807828379754684,4,24
244,0.5612108430483944,5,24
245,0.5942119684838785,6,24
246,0.542358693970885,7,24
247,0.5555921151927147,8,24
248,0.568127433741176,9,24
249,0.5834843136732379,10,24
250,0.5973630633554673,11,24
251,1.0645850336739244,12,24
252,0.745993408796251,1,26
253,0.7194648941016113,2,26
254,0.6705845505802231,3,26
255,0.6713753546797007,4,26
256,0.7144761277530588,5,26
257,0.6696982165360068,6,26
258,0.5711432194994905,7,26
259,0.5286224115773519,8,26
260,0.49256612893268364,9,26
261,0.5073229546146341,10,26
262,0.5283206336728021,11,26
263,0.5690632663480127,12,26
264,0.14195463436922956,1,28
265,0.14750596028149485,2,28
266,0.13300693991462267,3,28
267,0.14235820899541574,4,28
268,0.11191152485129101,5,28
269,0.10070006241891555,6,28
270,0.09237233519060714,7,28
271,0.10645738116953703,8,28
272,0.11017671217813375,9,28
273,0.12988621884086007,10,28
274,0.19141397847453026,11,28
275,0.004229609991574276,12,28
276,0.15489195231330397,1,30
277,0.12712582760119812,2,30
278,0.12087402605803578,3,30
279,0.1230379152095767,4,30
280,0.11814598968096024,5,30
281,0.10219318046980569,6,30
282,0.12315648105531221,7,30
283,0.15618964888411255,8,30
284,0.16540638429812843,9,30
285,0.16989494755968682,10,30
286,0.17128317270308158,11,30
287,0.06279817702756169,12,30
