,Dimensionality,Layer,Subject
0,0.7507184736835143,1,02
1,1.4980764313385753,2,02
2,1.3627107547797412,3,02
3,1.27737090001151,4,02
4,1.2312395687815034,5,02
5,1.205448527348414,6,02
6,1.1863008559373545,7,02
7,1.1831014042108254,8,02
8,1.1773768990504905,9,02
9,1.2320069007637238,10,02
10,1.2739405409601967,11,02
11,0.7969932499693029,12,02
12,1.148538837283353,1,03
13,1.496244758707921,2,03
14,1.3198651958982361,3,03
15,1.2535170584488484,4,03
16,1.2422984039525957,5,03
17,1.206477960591853,6,03
18,1.2033229640014593,7,03
19,1.2380903875530556,8,03
20,1.2426101498609907,9,03
21,1.2945004377048,10,03
22,1.3532577144423141,11,03
23,1.0261859579049666,12,03
24,0.24600047125471383,1,04
25,1.1342123413135536,2,04
26,1.1202842032464886,3,04
27,1.1225629024782577,4,04
28,1.1048462632553069,5,04
29,1.0784429160342397,6,04
30,1.0835642643038568,7,04
31,1.0940680431225103,8,04
32,1.0939635628351856,9,04
33,1.0871373291076394,10,04
34,1.081364508581417,11,04
35,0.2638353420886898,12,04
36,0.391032753490771,1,06
37,1.3305022434545086,2,06
38,1.2278609482704217,3,06
39,1.1802868079146613,4,06
40,1.1552577927819947,5,06
41,1.1314009189484804,6,06
42,1.1345897887394056,7,06
43,1.1446446361827254,8,06
44,1.1527434365157783,9,06
45,1.1587405854433905,10,06
46,1.1736547318581645,11,06
47,0.4845812228560482,12,06
48,0.47945778485512036,1,08
49,1.4722385847744706,2,08
50,1.3130819261368412,3,08
51,1.258192955889151,4,08
52,1.1903251180566317,5,08
53,1.1796300287186083,6,08
54,1.170523069319077,7,08
55,1.1549503857397907,8,08
56,1.169371711217662,9,08
57,1.179306767493818,10,08
58,1.1694365463550112,11,08
59,0.19892407556312647,12,08
60,0.5030915959228064,1,09
61,1.4101689624674956,2,09
62,1.3213445659688692,3,09
63,1.2699173139698519,4,09
64,1.2201200226273818,5,09
65,1.2203556227792416,6,09
66,1.2097500391824056,7,09
67,1.1957210444688078,8,09
68,1.198421285265393,9,09
69,1.1989448564250305,10,09
70,1.198715122016279,11,09
71,0.5012231174862823,12,09
72,0.7210418793199637,1,10
73,1.746814282482643,2,10
74,1.4835022994392286,3,10
75,1.42755186243293,4,10
76,1.3633011123590597,5,10
77,1.3114001417520385,6,10
78,1.2833904383069656,7,10
79,1.2752610556495008,8,10
80,1.3091910713374404,9,10
81,1.3063478721448218,10,10
82,1.3081532208041224,11,10
83,1.1710806528186182,12,10
84,0.21260466052272367,1,12
85,1.188906384823264,2,12
86,1.1614854787097966,3,12
87,1.122210204401045,4,12
88,1.1210405829935282,5,12
89,1.128392522603029,6,12
90,1.1433945778529553,7,12
91,1.1470148215516014,8,12
92,1.1720915761547435,9,12
93,1.1772903074515193,10,12
94,1.2057118046204685,11,12
95,0.8148365983469709,12,12
96,0.27206187880774424,1,14
97,1.3093907352208605,2,14
98,1.214916952066914,3,14
99,1.1699567298470606,4,14
100,1.1421762077602213,5,14
101,1.1265969888687777,6,14
102,1.1348970296509382,7,14
103,1.132100278621334,8,14
104,1.1354600202947704,9,14
105,1.139135846084129,10,14
106,1.145845593264481,11,14
107,0.6262272460432855,12,14
108,0.3975441340542015,1,15
109,1.4713320255498055,2,15
110,1.326863297311566,3,15
111,1.2719475892963419,4,15
112,1.2242080612895148,5,15
113,1.197011325187038,6,15
114,1.1955918963281869,7,15
115,1.2123585647589914,8,15
116,1.2025637125912751,9,15
117,1.231391312816722,10,15
118,1.240449665659419,11,15
119,0.7327210667419374,12,15
120,0.2763032100491094,1,18
121,1.204426130022291,2,18
122,1.1660227035630824,3,18
123,1.1389614748774073,4,18
124,1.1192420494778814,5,18
125,1.1130801011097227,6,18
126,1.0988689724254255,7,18
127,1.0934665222974749,8,18
128,1.0952313719730478,9,18
129,1.0823944074946965,10,18
130,1.0812637639844158,11,18
131,0.1133248428659654,12,18
132,0.06630429830584532,1,20
133,1.1553357339092338,2,20
134,1.132907408592016,3,20
135,1.1162901889493504,4,20
136,1.1139784240391934,5,20
137,1.108652509340133,6,20
138,1.1012469526526554,7,20
